 ,Raw EEG2,Beta 13-32Hz,Alpha 8-13Hz,Delta 1-4Hz,Theta 4-8Hz,Raw EEG2,Raw EEG2,All 0.5-32Hz,Raw EEG2,Raw EEG2
Time,RMS,Power,Power,Power,Power,SEF,Median Power Frequency,Power,Median Power Frequency,Cmt Text
 ,mV, , , , ,Hz (95%),Hz, ,Hz, 
01:20.0,0.015225784,3.64E-13,5.80E-14,7.86E-12,4.04E-13,3.745301587,1.462647167,9.65E-12,1.74017603,616 back in recovery
01:20.5,0.042260617,1.71E-13,3.21E-13,1.38E-10,3.91E-12,3.726841331,1.647358023,2.51E-10,1.924186303,616 back in recovery
01:21.0,0.030277123,1.57E-13,1.16E-13,9.81E-12,4.10E-13,3.277597133,1.447783955,9.68E-12,1.754898916,616 back in recovery
01:21.5,0.022520952,3.05E-13,1.77E-13,1.47E-11,4.36E-13,3.611995908,1.524821317,1.70E-11,1.817709889,616 back in recovery
01:22.0,0.019219255,2.54E-13,7.62E-14,2.73E-11,1.62E-12,4.264064081,1.916163629,4.07E-11,2.209198146,616 back in recovery
01:22.5,0.025569315,1.69E-13,2.70E-14,2.37E-11,4.29E-13,3.477991917,1.533013103,5.48E-11,1.822501958,616 back in recovery
01:23.0,0.010081526,2.74E-13,2.47E-13,1.17E-11,1.74E-13,9.459361153,1.617808733,6.20E-12,1.887287878,616 back in recovery
01:23.5,0.022303136,1.28E-13,1.13E-13,7.13E-11,3.09E-12,4.67162934,2.536512505,1.43E-10,2.625278966,616 back in recovery
01:24.0,0.013596736,2.20E-13,3.75E-14,2.14E-11,1.93E-12,5.79682636,1.952712118,2.77E-11,2.779245026,616 back in recovery
01:24.5,0.019686646,2.99E-13,1.22E-13,2.29E-11,3.80E-13,3.743042009,1.584915015,3.31E-11,1.868371708,616 back in recovery
01:25.0,0.03148344,6.70E-14,1.46E-14,1.17E-10,4.35E-12,4.464922515,2.186420385,2.04E-10,2.411060035,616 back in recovery
01:25.5,0.012623255,6.48E-14,7.25E-14,8.28E-12,1.38E-13,3.897864477,1.956992426,7.87E-12,2.187812546,616 back in recovery
01:26.0,0.00654887,1.94E-13,3.69E-14,1.20E-11,5.03E-13,6.687696989,2.910266468,1.18E-11,2.867215357,616 back in recovery
01:26.5,0.018021896,9.89E-14,3.30E-13,5.92E-11,1.08E-12,4.616364532,2.726725551,9.42E-11,2.721490429,616 back in recovery
01:27.0,0.014062827,1.04E-13,2.68E-14,5.18E-12,1.31E-13,3.784804816,1.567940712,3.02E-12,1.843340267,616 back in recovery
01:27.5,0.016934744,1.98E-13,5.36E-14,1.75E-12,2.30E-13,4.21568524,1.300024409,2.47E-12,1.632436063,616 back in recovery
01:28.0,0.013325956,2.18E-13,6.40E-14,7.36E-13,8.84E-13,5.989260115,1.650505224,5.44E-12,1.929085219,616 back in recovery
01:28.5,0.012211376,9.59E-14,8.93E-14,2.71E-11,2.30E-12,5.460622431,3.140527908,5.70E-11,3.135094151,616 back in recovery
01:29.0,0.019852112,7.57E-14,4.05E-14,3.83E-12,2.73E-13,3.091289115,1.362611991,3.35E-12,1.674944569,616 back in recovery
01:29.5,0.027691523,4.08E-13,2.97E-13,2.03E-11,2.01E-12,5.706273814,1.510798892,2.49E-11,1.875117441,616 back in recovery
01:30.0,0.023091697,3.10E-13,9.06E-14,6.16E-11,3.74E-12,5.85673008,3.86701973,1.28E-10,3.891017684,616 back in recovery
